id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,image_exists
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,images\15970.jpg,True
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,images\59263.jpg,True
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,images\53759.jpg,True
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,images\1855.jpg,True
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,images\30805.jpg,True
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,images\26960.jpg,True
30039,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Watch,images\30039.jpg,True
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,images\9204.jpg,True
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,images\47957.jpg,True
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,images\12369.jpg,True
29928,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB,images\29928.jpg,True
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,images\42419.jpg,True
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Baggit Women Brown Handbag,images\47359.jpg,True
17429,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,images\17429.jpg,True
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,images\7990.jpg,True
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,images\21977.jpg,True
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,images\37812.jpg,True
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,images\4729.jpg,True
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,images\56825.jpg,True
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014.0,Casual,Gas Men Europa White Shoes,images\39988.jpg,True
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,images\20099.jpg,True
58183,Women,Accessories,Bags,Handbags,White,Summer,2012.0,Casual,Rocky S Women White Handbag,images\58183.jpg,True
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012.0,Casual,Kiara Women Teal Handbag,images\29742.jpg,True
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,images\51658.jpg,True
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,images\3954.jpg,True
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,images\23278.jpg,True
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,images\28690.jpg,True
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,images\3168.jpg,True
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,images\9452.jpg,True
44984,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Women White Dial Watch,images\44984.jpg,True
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,images\45856.jpg,True
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,images\5891.jpg,True
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,images\38630.jpg,True
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,images\4943.jpg,True
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,images\11188.jpg,True
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,images\10866.jpg,True
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,images\15528.jpg,True
45258,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,images\45258.jpg,True
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Handbag,images\42841.jpg,True
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,images\22198.jpg,True
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,images\29570.jpg,True
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,images\6628.jpg,True
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes,images\26538.jpg,True
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Peperone Women Black & White Handbag,images\35913.jpg,True
